time	V(v1)	V(v2)	V(vo2)
4.877053247407772e-004	7.717291e-002	-7.717291e-002	-6.573995e-001
4.893124855423199e-004	6.710118e-002	-6.710118e-002	-5.944796e-001
4.898299284186378e-004	6.385697e-002	-6.385697e-002	-5.870869e-001
4.902992682097458e-004	6.091371e-002	-6.091371e-002	-5.899172e-001
4.907686080008539e-004	5.796998e-002	-5.796998e-002	-5.928475e-001
4.912379477919619e-004	5.502578e-002	-5.502578e-002	-5.958776e-001
4.917072875830700e-004	5.208112e-002	-5.208112e-002	-5.990078e-001
4.921766273741780e-004	4.913598e-002	-4.913598e-002	-6.022379e-001
4.926459671652861e-004	4.619038e-002	-4.619038e-002	-6.055679e-001
4.931153069563941e-004	4.324431e-002	-4.324431e-002	-6.089979e-001
4.937359671439448e-004	3.934792e-002	-3.934792e-002	-5.993954e-001
4.940490460546221e-004	3.738223e-002	-3.738223e-002	-5.522842e-001
4.942578905716804e-004	3.607091e-002	-3.607091e-002	-4.826624e-001
4.943875322369053e-004	3.525687e-002	-3.525687e-002	-4.406005e-001
4.945446618409869e-004	3.427019e-002	-3.427019e-002	-4.031841e-001
4.946587385170132e-004	3.355384e-002	-3.355384e-002	-3.783964e-001
4.947815713432542e-004	3.278248e-002	-3.278248e-002	-3.559874e-001
4.949101983269046e-004	3.197472e-002	-3.197472e-002	-3.365146e-001
4.950575433229368e-004	3.104938e-002	-3.104938e-002	-3.175019e-001
4.952490559577932e-004	2.984663e-002	-2.984663e-002	-2.970831e-001
4.955135261324147e-004	2.818561e-002	-2.818561e-002	-2.740781e-001
4.959605847181135e-004	2.537767e-002	-2.537767e-002	-2.427624e-001
4.965860097029690e-004	2.144909e-002	-2.144909e-002	-2.059666e-001
4.974532545555065e-004	1.600099e-002	-1.600099e-002	-1.601746e-001
4.989737850361498e-004	6.447854e-003	-6.447854e-003	-8.299182e-002
5.006381082954483e-004	-4.009342e-003	4.009342e-003	7.263630e-004
5.039667548140455e-004	-2.492128e-002	2.492128e-002	1.670785e-001
5.086096606194931e-004	-5.406971e-002	5.406971e-002	3.918384e-001
5.103943057749672e-004	-6.526293e-002	6.526293e-002	4.655710e-001
5.115764095618115e-004	-7.267261e-002	7.267261e-002	4.996025e-001
5.129385938626199e-004	-8.120607e-002	8.120607e-002	5.249569e-001
5.141111765259467e-004	-8.854701e-002	8.854701e-002	5.409915e-001
5.152651032640465e-004	-9.576648e-002	9.576648e-002	5.545444e-001
5.157021155552823e-004	-9.849933e-002	9.849933e-002	5.601391e-001
5.158840610525186e-004	-9.963690e-002	9.963690e-002	5.644999e-001
5.159760399145489e-004	-1.002119e-001	1.002119e-001	5.699857e-001
5.160691041055247e-004	-1.007937e-001	1.007937e-001	5.808944e-001
5.161551414689449e-004	-1.013315e-001	1.013315e-001	5.961869e-001
5.162576526213601e-004	-1.019723e-001	1.019723e-001	6.189265e-001
5.164181081138307e-004	-1.029752e-001	1.029752e-001	6.569635e-001
5.165950515387143e-004	-1.040809e-001	1.040809e-001	6.963665e-001
5.168369720806609e-004	-1.055926e-001	1.055926e-001	7.417639e-001
5.171196937158092e-004	-1.073589e-001	1.073589e-001	7.822274e-001
5.175817033829253e-004	-1.102446e-001	1.102446e-001	8.300582e-001
5.180430354211750e-004	-1.131251e-001	1.131251e-001	8.651780e-001
5.187136284745688e-004	-1.173104e-001	1.173104e-001	9.052862e-001
5.226919224638804e-004	-1.420950e-001	1.420950e-001	1.107095e+000
5.321863210453655e-004	-2.013584e-001	2.013584e-001	1.581849e+000
5.416807196268504e-004	-2.594021e-001	2.594021e-001	2.046862e+000
5.511751182083355e-004	-3.162260e-001	3.162260e-001	2.502134e+000
5.606695167898204e-004	-3.718302e-001	3.718302e-001	2.947666e+000
5.701639153713055e-004	-4.262147e-001	4.262147e-001	3.383457e+000
5.796583139527906e-004	-4.793794e-001	4.793794e-001	3.809508e+000
5.891527125342755e-004	-5.313243e-001	5.313243e-001	4.225818e+000
6.044986946771326e-004	-6.118760e-001	6.118760e-001	4.871700e+000
6.198446768199899e-004	-6.852373e-001	6.852373e-001	5.460216e+000
6.351906589628470e-004	-7.514080e-001	7.514080e-001	5.991366e+000
6.505366411057042e-004	-8.103882e-001	8.103882e-001	6.465149e+000
6.658826232485613e-004	-8.621780e-001	8.621780e-001	6.881566e+000
6.812286053914185e-004	-9.067772e-001	9.067772e-001	7.240617e+000
6.965745875342756e-004	-9.441860e-001	9.441860e-001	7.542301e+000
7.202911053914185e-004	-9.816682e-001	9.816682e-001	7.846275e+000
7.440076232485614e-004	-9.978873e-001	9.978873e-001	7.980079e+000
7.677241411057043e-004	-9.928435e-001	9.928435e-001	7.943712e+000
7.914406589628472e-004	-9.665366e-001	9.665366e-001	7.737174e+000
8.151571768199900e-004	-9.189667e-001	9.189667e-001	7.360466e+000
8.388736946771330e-004	-8.501337e-001	8.501337e-001	6.813588e+000
8.625902125342758e-004	-7.600377e-001	7.600377e-001	6.096539e+000
8.744484714628472e-004	-7.087249e-001	7.087249e-001	5.687670e+000
8.863067303914187e-004	-6.542860e-001	6.542860e-001	5.253705e+000
8.981649893199901e-004	-5.967210e-001	5.967210e-001	4.794643e+000
9.100232482485615e-004	-5.360300e-001	5.360300e-001	4.310485e+000
9.218815071771330e-004	-4.722128e-001	4.722128e-001	3.801230e+000
9.337397661057044e-004	-4.052695e-001	4.052695e-001	3.266879e+000
9.455980250342758e-004	-3.352002e-001	3.352002e-001	2.707431e+000
9.511783821771329e-004	-3.018623e-001	3.018623e-001	2.441018e+000
9.567587393199900e-004	-2.682576e-001	2.682576e-001	2.172617e+000
9.623390964628471e-004	-2.343860e-001	2.343860e-001	1.902228e+000
9.679194536057044e-004	-2.002476e-001	2.002476e-001	1.629851e+000
9.734998107485615e-004	-1.658425e-001	1.658425e-001	1.355486e+000
9.790801678914184e-004	-1.311704e-001	1.311704e-001	1.079132e+000
9.846605250342757e-004	-9.623162e-002	9.623162e-002	8.007901e-001
9.895433375342756e-004	-6.565389e-002	6.565389e-002	5.646606e-001
9.910505180215595e-004	-5.620163e-002	5.620163e-002	5.019776e-001
9.914672155925969e-004	-5.358738e-002	5.358738e-002	4.909270e-001
9.917251774348129e-004	-5.196882e-002	5.196882e-002	4.874077e-001
9.921652658182844e-004	-4.920716e-002	4.920716e-002	4.828814e-001
9.926053542017557e-004	-4.644517e-002	4.644517e-002	4.783657e-001
9.930454425852273e-004	-4.368286e-002	4.368286e-002	4.738607e-001
9.934855309686986e-004	-4.092022e-002	4.092022e-002	4.693663e-001
9.939256193521701e-004	-3.815725e-002	3.815725e-002	4.648826e-001
9.943657077356415e-004	-3.539396e-002	3.539396e-002	4.604095e-001
9.948057961191130e-004	-3.263035e-002	3.263035e-002	4.559471e-001
9.949552621609083e-004	-3.169172e-002	3.169172e-002	4.542850e-001
9.951334565384416e-004	-3.057263e-002	3.057263e-002	4.518929e-001
9.953054438379711e-004	-2.949249e-002	2.949249e-002	4.494948e-001
9.956899152950437e-004	-2.707775e-002	2.707775e-002	4.448981e-001
9.962025439044736e-004	-2.385786e-002	2.385786e-002	4.343661e-001
9.964241915406168e-004	-2.246558e-002	2.246558e-002	4.152129e-001
9.966655045220215e-004	-2.094972e-002	2.094972e-002	3.671895e-001
9.967813107869255e-004	-2.022224e-002	2.022224e-002	3.348291e-001
9.969155247995811e-004	-1.937912e-002	1.937912e-002	2.973642e-001
9.970303350728786e-004	-1.865787e-002	1.865787e-002	2.709471e-001
9.971504720958590e-004	-1.790315e-002	1.790315e-002	2.477764e-001
9.973011617973036e-004	-1.695649e-002	1.695649e-002	2.230761e-001
9.974888537550000e-004	-1.577734e-002	1.577734e-002	1.979957e-001
9.977735899735767e-004	-1.398849e-002	1.398849e-002	1.682438e-001
9.982001163291363e-004	-1.130876e-002	1.130876e-002	1.342685e-001
9.988965843138646e-004	-6.932910e-003	6.932910e-003	9.073880e-002
9.997750777801680e-004	-1.413228e-003	1.413228e-003	4.346392e-002
1.001308333983012e-003	8.220412e-003	-8.220412e-003	-3.435554e-002
1.003012567408381e-003	1.892739e-002	-1.892739e-002	-1.198888e-001
1.006421034259119e-003	4.033360e-002	-4.033360e-002	-2.898363e-001
1.008714255183880e-003	5.472593e-002	-5.472593e-002	-4.021471e-001
1.010333043119901e-003	6.487882e-002	-6.487882e-002	-4.770767e-001
1.011174840522963e-003	7.015592e-002	-7.015592e-002	-5.097366e-001
1.011962459186211e-003	7.509160e-002	-7.509160e-002	-5.305518e-001
1.012940806083072e-003	8.121992e-002	-8.121992e-002	-5.439711e-001
1.013960520722855e-003	8.760410e-002	-8.760410e-002	-5.478268e-001
1.015057646476265e-003	9.446891e-002	-9.446891e-002	-5.450912e-001
1.016163123640781e-003	1.013814e-001	-1.013814e-001	-5.520883e-001
1.016496900015917e-003	1.034676e-001	-1.034676e-001	-5.850329e-001
1.016694939579717e-003	1.047051e-001	-1.047051e-001	-6.337107e-001
1.016838719147453e-003	1.056035e-001	-1.056035e-001	-6.753068e-001
1.016995238804201e-003	1.065814e-001	-1.065814e-001	-7.135225e-001
1.017181889053732e-003	1.077474e-001	-1.077474e-001	-7.507659e-001
1.017409559340958e-003	1.091695e-001	-1.091695e-001	-7.863305e-001
1.017756312837219e-003	1.113349e-001	-1.113349e-001	-8.273772e-001
1.018131157596617e-003	1.136752e-001	-1.136752e-001	-8.605636e-001
1.018698745109754e-003	1.172176e-001	-1.172176e-001	-8.991626e-001
1.019308963016624e-003	1.210244e-001	-1.210244e-001	-9.340361e-001
1.023376117691962e-003	1.463490e-001	-1.463490e-001	-1.139405e+000
1.032746816090142e-003	2.047870e-001	-2.047870e-001	-1.607107e+000
1.042117514488322e-003	2.620318e-001	-2.620318e-001	-2.065286e+000
1.051488212886502e-003	3.180833e-001	-3.180833e-001	-2.513939e+000
1.060858911284682e-003	3.729416e-001	-3.729416e-001	-2.953069e+000
1.070229609682862e-003	4.266066e-001	-4.266066e-001	-3.382674e+000
1.079600308081042e-003	4.790783e-001	-4.790783e-001	-3.802755e+000
1.088971006479222e-003	5.303568e-001	-5.303568e-001	-4.213311e+000
1.104316988622079e-003	6.109732e-001	-6.109732e-001	-4.858993e+000
1.119662970764936e-003	6.844058e-001	-6.844058e-001	-5.447565e+000
1.135008952907793e-003	7.506543e-001	-7.506543e-001	-5.979027e+000
1.150354935050650e-003	8.097190e-001	-8.097190e-001	-6.453379e+000
1.165700917193506e-003	8.615997e-001	-8.615997e-001	-6.870621e+000
1.181046899336363e-003	9.062965e-001	-9.062965e-001	-7.230752e+000
1.196392881479220e-003	9.438093e-001	-9.438093e-001	-7.533773e+000
1.220109399336362e-003	9.814648e-001	-9.814648e-001	-7.842123e+000
1.243825917193505e-003	9.978528e-001	-9.978528e-001	-7.979838e+000
1.267542435050647e-003	9.929733e-001	-9.929733e-001	-7.946916e+000
1.291258952907789e-003	9.668261e-001	-9.668261e-001	-7.743360e+000
1.314975470764932e-003	9.194114e-001	-9.194114e-001	-7.369167e+000
1.338691988622074e-003	8.507291e-001	-8.507291e-001	-6.824339e+000
1.362408506479216e-003	7.607792e-001	-7.607792e-001	-6.108876e+000
1.374266765407787e-003	7.095297e-001	-7.095297e-001	-5.700237e+000
1.386125024336359e-003	6.551488e-001	-6.551488e-001	-5.266411e+000
1.397983283264930e-003	5.976367e-001	-5.976367e-001	-4.807396e+000
1.409841542193501e-003	5.369934e-001	-5.369934e-001	-4.323193e+000
1.421699801122072e-003	4.732187e-001	-4.732187e-001	-3.813801e+000
1.433558060050643e-003	4.063128e-001	-4.063128e-001	-3.279221e+000
1.445416318979215e-003	3.362756e-001	-3.362756e-001	-2.719453e+000
1.450996676122072e-003	3.029505e-001	-3.029505e-001	-2.452840e+000
1.456577033264929e-003	2.693572e-001	-2.693572e-001	-2.184255e+000
1.462157390407786e-003	2.354957e-001	-2.354957e-001	-1.913700e+000
1.467737747550643e-003	2.013661e-001	-2.013661e-001	-1.641173e+000
1.473318104693500e-003	1.669682e-001	-1.669682e-001	-1.366675e+000
1.478898461836357e-003	1.323022e-001	-1.323022e-001	-1.090206e+000
1.484478818979214e-003	9.736795e-002	-9.736795e-002	-8.117651e-001
1.487404874044890e-003	7.905494e-002	-7.905494e-002	-6.689832e-001
1.488807720204028e-003	7.026522e-002	-7.026522e-002	-6.081693e-001
1.489514740691000e-003	6.583318e-002	-6.583318e-002	-5.878108e-001
1.489754906410987e-003	6.432737e-002	-6.432737e-002	-5.858935e-001
1.490132230917020e-003	6.196127e-002	-6.196127e-002	-5.883883e-001
1.490509555423053e-003	5.959486e-002	-5.959486e-002	-5.909186e-001
1.490886879929086e-003	5.722813e-002	-5.722813e-002	-5.934843e-001
1.491264204435119e-003	5.486108e-002	-5.486108e-002	-5.960857e-001
1.491641528941152e-003	5.249372e-002	-5.249372e-002	-5.987225e-001
1.492018853447185e-003	5.012604e-002	-5.012604e-002	-6.013948e-001
1.492396177953218e-003	4.775805e-002	-4.775805e-002	-6.041027e-001
1.493178356256320e-003	4.284853e-002	-4.284853e-002	-6.035563e-001
1.494024370538198e-003	3.753716e-002	-3.753716e-002	-5.449730e-001
1.494291684952460e-003	3.585871e-002	-3.585871e-002	-4.776159e-001
1.494474548155291e-003	3.471046e-002	-3.471046e-002	-4.240690e-001
1.494650118610672e-003	3.360797e-002	-3.360797e-002	-3.861665e-001
1.494769257164118e-003	3.285981e-002	-3.285981e-002	-3.614805e-001
1.494868267778144e-003	3.223804e-002	-3.223804e-002	-3.448848e-001
1.494971534147342e-003	3.158953e-002	-3.158953e-002	-3.303439e-001
1.495074394046019e-003	3.094355e-002	-3.094355e-002	-3.171133e-001
1.495193445303134e-003	3.019588e-002	-3.019588e-002	-3.038530e-001
1.495358341168088e-003	2.916027e-002	-2.916027e-002	-2.877191e-001
1.495596084128537e-003	2.766709e-002	-2.766709e-002	-2.680467e-001
1.495935223232694e-003	2.553697e-002	-2.553697e-002	-2.444089e-001
1.496468092094353e-003	2.218981e-002	-2.218981e-002	-2.126893e-001
1.497258045590718e-003	1.722736e-002	-1.722736e-002	-1.702769e-001
1.498281481112748e-003	1.079756e-002	-1.079756e-002	-1.179573e-001
1.500170047239157e-003	-1.068438e-003	1.068438e-003	-2.278687e-002
1.502352113326315e-003	-1.477823e-002	1.477823e-002	8.663072e-002
1.506669542944349e-003	-4.189371e-002	4.189371e-002	3.016038e-001
1.508204956682569e-003	-5.153043e-002	5.153043e-002	3.760129e-001
