v1	V(v1)	V(vo1)	V(vo2)
-2.700000000000020e+000	-2.700000e+000	-7.576545e+000	8.720886e+000
-2.600000000000020e+000	-2.600000e+000	-7.377013e+000	8.722887e+000
-2.500000000000020e+000	-2.500000e+000	-7.177482e+000	8.724890e+000
-2.400000000000020e+000	-2.400000e+000	-6.977946e+000	8.726875e+000
-2.300000000000020e+000	-2.300000e+000	-6.778162e+000	8.727872e+000
-2.200000000000020e+000	-2.200000e+000	-6.570788e+000	8.698520e+000
-2.100000000000020e+000	-2.100000e+000	-6.296106e+000	8.399858e+000
-2.000000000000020e+000	-2.000000e+000	-5.996104e+000	7.999871e+000
-1.900000000000020e+000	-1.900000e+000	-5.696099e+000	7.599871e+000
-1.800000000000019e+000	-1.800000e+000	-5.396096e+000	7.199878e+000
-1.700000000000019e+000	-1.700000e+000	-5.096092e+000	6.799884e+000
-1.600000000000019e+000	-1.600000e+000	-4.796089e+000	6.399890e+000
-1.500000000000019e+000	-1.500000e+000	-4.496085e+000	5.999897e+000
-1.400000000000019e+000	-1.400000e+000	-4.196082e+000	5.599903e+000
-1.300000000000019e+000	-1.300000e+000	-3.896078e+000	5.199909e+000
-1.200000000000019e+000	-1.200000e+000	-3.596075e+000	4.799916e+000
-1.100000000000019e+000	-1.100000e+000	-3.296072e+000	4.399922e+000
-1.000000000000019e+000	-1.000000e+000	-2.996068e+000	3.999928e+000
-9.000000000000187e-001	-9.000000e-001	-2.696065e+000	3.599935e+000
-8.000000000000187e-001	-8.000000e-001	-2.396061e+000	3.199941e+000
-7.000000000000187e-001	-7.000000e-001	-2.096058e+000	2.799948e+000
-6.000000000000187e-001	-6.000000e-001	-1.796055e+000	2.399954e+000
-5.000000000000188e-001	-5.000000e-001	-1.496051e+000	1.999961e+000
-4.000000000000188e-001	-4.000000e-001	-1.196048e+000	1.599967e+000
-3.000000000000188e-001	-3.000000e-001	-8.960447e-001	1.199974e+000
-2.000000000000188e-001	-2.000000e-001	-5.960417e-001	7.999812e-001
-1.000000000000188e-001	-1.000000e-001	-2.960389e-001	3.999889e-001
-1.879052469178077e-014	-1.879052e-014	3.961987e-003	2.440415e-007
9.999999999998122e-002	1.000000e-001	3.039629e-001	-3.999885e-001
1.999999999999812e-001	2.000000e-001	6.039657e-001	-7.999809e-001
2.999999999999812e-001	3.000000e-001	9.039688e-001	-1.199974e+000
3.999999999999813e-001	4.000000e-001	1.203972e+000	-1.599967e+000
4.999999999999812e-001	5.000000e-001	1.503975e+000	-1.999960e+000
5.999999999999812e-001	6.000000e-001	1.803979e+000	-2.399954e+000
6.999999999999812e-001	7.000000e-001	2.103982e+000	-2.799947e+000
7.999999999999812e-001	8.000000e-001	2.403986e+000	-3.199941e+000
8.999999999999812e-001	9.000000e-001	2.703989e+000	-3.599934e+000
9.999999999999811e-001	1.000000e+000	3.003992e+000	-3.999928e+000
1.099999999999981e+000	1.100000e+000	3.303996e+000	-4.399921e+000
1.199999999999981e+000	1.200000e+000	3.603999e+000	-4.799915e+000
1.299999999999981e+000	1.300000e+000	3.904002e+000	-5.199909e+000
1.399999999999982e+000	1.400000e+000	4.204006e+000	-5.599903e+000
1.499999999999982e+000	1.500000e+000	4.504009e+000	-5.999896e+000
1.599999999999982e+000	1.600000e+000	4.804013e+000	-6.399890e+000
1.699999999999982e+000	1.700000e+000	5.104016e+000	-6.799883e+000
1.799999999999982e+000	1.800000e+000	5.404020e+000	-7.199877e+000
1.899999999999982e+000	1.900000e+000	5.704023e+000	-7.599871e+000
1.999999999999982e+000	2.000000e+000	6.004026e+000	-7.999865e+000
2.099999999999982e+000	2.100000e+000	6.304030e+000	-8.399858e+000
2.199999999999982e+000	2.200000e+000	6.604033e+000	-8.799852e+000
2.299999999999982e+000	2.300000e+000	6.904037e+000	-9.199846e+000
2.399999999999982e+000	2.400000e+000	7.202808e+000	-9.594909e+000
2.499999999999982e+000	2.500000e+000	7.429010e+000	-9.699577e+000
2.599999999999982e+000	2.600000e+000	7.629885e+000	-9.702945e+000
2.699999999999982e+000	2.700000e+000	7.829422e+000	-9.700960e+000
2.799999999999983e+000	2.800000e+000	8.028958e+000	-9.698979e+000
2.899999999999983e+000	2.900000e+000	8.228498e+000	-9.697004e+000
2.999999999999983e+000	3.000000e+000	8.427983e+000	-9.695032e+000
3.099999999999983e+000	3.100000e+000	8.593431e+000	-9.693398e+000
3.199999999999983e+000	3.200000e+000	8.634461e+000	-9.692992e+000
3.299999999999983e+000	3.300000e+000	8.636770e+000	-9.692969e+000
3.399999999999983e+000	3.400000e+000	8.636914e+000	-9.692967e+000
3.499999999999983e+000	3.500000e+000	8.636820e+000	-9.692968e+000
3.599999999999983e+000	3.600000e+000	8.636820e+000	-9.692968e+000
3.699999999999983e+000	3.700000e+000	8.636821e+000	-9.692967e+000
3.799999999999983e+000	3.800000e+000	8.636822e+000	-9.692967e+000
3.899999999999984e+000	3.900000e+000	8.636823e+000	-9.692967e+000
3.999999999999984e+000	4.000000e+000	8.636824e+000	-9.692967e+000
4.099999999999984e+000	4.100000e+000	8.636825e+000	-9.692966e+000
4.199999999999983e+000	4.200000e+000	8.636826e+000	-9.692966e+000
4.299999999999983e+000	4.300000e+000	8.636827e+000	-9.692966e+000
4.399999999999983e+000	4.400000e+000	8.636827e+000	-9.692966e+000
4.499999999999982e+000	4.500000e+000	8.636828e+000	-9.692966e+000
4.599999999999982e+000	4.600000e+000	8.636829e+000	-9.692966e+000
4.699999999999982e+000	4.700000e+000	8.636830e+000	-9.692966e+000
4.799999999999981e+000	4.800000e+000	8.636831e+000	-9.692965e+000
4.899999999999981e+000	4.900000e+000	8.636832e+000	-9.692965e+000
4.999999999999981e+000	5.000000e+000	8.636833e+000	-9.692965e+000
5.099999999999980e+000	5.100000e+000	8.636834e+000	-9.692965e+000
5.199999999999980e+000	5.200000e+000	8.636835e+000	-9.692964e+000
5.299999999999979e+000	5.300000e+000	8.636836e+000	-9.692964e+000
5.399999999999979e+000	5.400000e+000	8.636837e+000	-9.692964e+000
5.499999999999979e+000	5.500000e+000	8.636838e+000	-9.692964e+000
5.599999999999978e+000	5.600000e+000	8.636839e+000	-9.692963e+000
5.699999999999978e+000	5.700000e+000	8.636840e+000	-9.692963e+000
5.799999999999978e+000	5.800000e+000	8.636841e+000	-9.692963e+000
5.899999999999977e+000	5.900000e+000	8.636842e+000	-9.692963e+000
5.999999999999977e+000	6.000000e+000	8.636843e+000	-9.692962e+000
6.099999999999977e+000	6.100000e+000	8.636844e+000	-9.692962e+000
6.199999999999976e+000	6.200000e+000	8.636845e+000	-9.692962e+000
6.299999999999976e+000	6.300000e+000	8.636846e+000	-9.692961e+000
6.399999999999976e+000	6.400000e+000	8.636847e+000	-9.692961e+000
6.499999999999975e+000	6.500000e+000	8.636847e+000	-9.692961e+000
6.599999999999975e+000	6.600000e+000	8.636848e+000	-9.692961e+000
6.699999999999974e+000	6.700000e+000	8.636849e+000	-9.692960e+000
