v1	V(vo1)	V(vo2)
-7.880000000000045e+000	-8.938760e+000	-8.999957e+000
-7.860000000000046e+000	-8.938672e+000	-8.987051e+000
-7.840000000000046e+000	-8.938529e+000	-8.966032e+000
-7.820000000000047e+000	-8.938288e+000	-8.930862e+000
-7.800000000000047e+000	-8.937961e+000	-8.883019e+000
-7.780000000000047e+000	-8.937604e+000	-8.830725e+000
-7.760000000000048e+000	-8.937245e+000	-8.777945e+000
-7.740000000000048e+000	-8.936889e+000	-8.725100e+000
-7.720000000000049e+000	-8.936533e+000	-8.672243e+000
-7.700000000000049e+000	-8.936179e+000	-8.619383e+000
-7.680000000000050e+000	-8.935826e+000	-8.566520e+000
-7.660000000000050e+000	-8.935475e+000	-8.513656e+000
-7.640000000000050e+000	-8.935126e+000	-8.460789e+000
-7.620000000000051e+000	-8.934778e+000	-8.407921e+000
-7.600000000000051e+000	-8.934432e+000	-8.355050e+000
-7.580000000000052e+000	-8.934088e+000	-8.302177e+000
-7.560000000000052e+000	-8.933744e+000	-8.249304e+000
-7.540000000000052e+000	-8.933403e+000	-8.196427e+000
-7.520000000000053e+000	-8.933063e+000	-8.143549e+000
-7.500000000000053e+000	-8.932723e+000	-8.090670e+000
-7.480000000000054e+000	-8.932385e+000	-8.037788e+000
-7.460000000000054e+000	-8.932050e+000	-7.984905e+000
-7.440000000000055e+000	-8.931715e+000	-7.932023e+000
-7.420000000000055e+000	-8.931381e+000	-7.879134e+000
-7.400000000000055e+000	-8.931049e+000	-7.826242e+000
-7.380000000000056e+000	-8.930718e+000	-7.773349e+000
-7.360000000000056e+000	-8.930389e+000	-7.720454e+000
-7.340000000000057e+000	-8.930061e+000	-7.667557e+000
-7.320000000000057e+000	-8.929734e+000	-7.614658e+000
-7.300000000000058e+000	-8.929409e+000	-7.561758e+000
-7.280000000000058e+000	-8.929085e+000	-7.508856e+000
-7.260000000000058e+000	-8.928762e+000	-7.455953e+000
-7.240000000000059e+000	-8.928440e+000	-7.403047e+000
-7.220000000000059e+000	-8.928120e+000	-7.350140e+000
-7.200000000000060e+000	-8.927800e+000	-7.297232e+000
-7.180000000000060e+000	-8.927483e+000	-7.244321e+000
-7.160000000000061e+000	-8.927166e+000	-7.191410e+000
-7.140000000000061e+000	-8.926850e+000	-7.138496e+000
-7.120000000000061e+000	-8.926536e+000	-7.085581e+000
-7.100000000000062e+000	-8.926223e+000	-7.032665e+000
-7.080000000000062e+000	-8.925910e+000	-6.979746e+000
-7.060000000000063e+000	-8.925599e+000	-6.926827e+000
-7.040000000000063e+000	-8.925289e+000	-6.873906e+000
-7.020000000000064e+000	-8.924980e+000	-6.820983e+000
-7.000000000000064e+000	-8.924673e+000	-6.768059e+000
-6.980000000000064e+000	-8.924366e+000	-6.715134e+000
-6.960000000000065e+000	-8.924061e+000	-6.662207e+000
-6.940000000000065e+000	-8.923757e+000	-6.609278e+000
-6.920000000000066e+000	-8.923453e+000	-6.556348e+000
-6.900000000000066e+000	-8.923151e+000	-6.503417e+000
-6.880000000000067e+000	-8.922850e+000	-6.450484e+000
-6.860000000000067e+000	-8.922550e+000	-6.397550e+000
-6.840000000000067e+000	-8.922251e+000	-6.344615e+000
-6.820000000000068e+000	-8.921952e+000	-6.291678e+000
-6.800000000000068e+000	-8.921656e+000	-6.238739e+000
-6.780000000000069e+000	-8.921360e+000	-6.185800e+000
-6.760000000000069e+000	-8.921064e+000	-6.132859e+000
-6.740000000000070e+000	-8.920771e+000	-6.079917e+000
-6.720000000000070e+000	-8.920477e+000	-6.026974e+000
-6.700000000000070e+000	-8.920185e+000	-5.974029e+000
-6.680000000000071e+000	-8.919894e+000	-5.921083e+000
-6.660000000000071e+000	-8.919604e+000	-5.868135e+000
-6.640000000000072e+000	-8.919314e+000	-5.815187e+000
-6.620000000000072e+000	-8.919026e+000	-5.762237e+000
-6.600000000000073e+000	-8.918739e+000	-5.709286e+000
-6.580000000000073e+000	-8.918452e+000	-5.656333e+000
-6.560000000000073e+000	-8.918167e+000	-5.603380e+000
-6.540000000000074e+000	-8.917883e+000	-5.550425e+000
-6.520000000000074e+000	-8.917599e+000	-5.497469e+000
-6.500000000000075e+000	-8.917316e+000	-5.444512e+000
-6.480000000000075e+000	-8.917034e+000	-5.391553e+000
-6.460000000000076e+000	-8.916753e+000	-5.338594e+000
-6.440000000000076e+000	-8.916473e+000	-5.285633e+000
-6.420000000000076e+000	-8.916194e+000	-5.232671e+000
-6.400000000000077e+000	-8.915915e+000	-5.179708e+000
-6.380000000000077e+000	-8.915638e+000	-5.126744e+000
-6.360000000000078e+000	-8.915361e+000	-5.073779e+000
-6.340000000000078e+000	-8.915085e+000	-5.020813e+000
-6.320000000000078e+000	-8.914810e+000	-4.967845e+000
-6.300000000000079e+000	-8.914536e+000	-4.914876e+000
-6.280000000000079e+000	-8.914263e+000	-4.861907e+000
-6.260000000000080e+000	-8.913990e+000	-4.808936e+000
-6.240000000000080e+000	-8.913718e+000	-4.755964e+000
-6.220000000000081e+000	-8.913447e+000	-4.702991e+000
