v2	V(v2)	V(vo1)	V(vo2)
-1.000000000000000e+001	-1.000000e+001	2.444696e+000	-9.755550e+000
-9.900000000000000e+000	-9.900000e+000	2.444671e+000	-9.755549e+000
-9.800000000000001e+000	-9.800000e+000	2.444646e+000	-9.755549e+000
-9.700000000000001e+000	-9.700000e+000	2.444621e+000	-9.755548e+000
-9.600000000000001e+000	-9.600000e+000	2.444596e+000	-9.755548e+000
-9.500000000000002e+000	-9.500000e+000	2.444571e+000	-9.755548e+000
-9.400000000000002e+000	-9.400000e+000	2.444546e+000	-9.755548e+000
-9.300000000000003e+000	-9.300000e+000	2.444521e+000	-9.755547e+000
-9.200000000000003e+000	-9.200000e+000	2.444495e+000	-9.755547e+000
-9.100000000000003e+000	-9.100000e+000	2.444470e+000	-9.755546e+000
-9.000000000000004e+000	-9.000000e+000	2.444445e+000	-9.755546e+000
-8.900000000000004e+000	-8.900000e+000	2.444420e+000	-9.755545e+000
-8.800000000000004e+000	-8.800000e+000	2.444395e+000	-9.755545e+000
-8.700000000000005e+000	-8.700000e+000	2.444370e+000	-9.755544e+000
-8.600000000000005e+000	-8.600000e+000	2.444345e+000	-9.755543e+000
-8.500000000000005e+000	-8.500000e+000	2.444320e+000	-9.755543e+000
-8.400000000000006e+000	-8.400000e+000	2.444294e+000	-9.755542e+000
-8.300000000000006e+000	-8.300000e+000	2.444269e+000	-9.755542e+000
-8.200000000000006e+000	-8.200000e+000	2.444244e+000	-9.755541e+000
-8.100000000000007e+000	-8.100000e+000	2.444219e+000	-9.755541e+000
-8.000000000000007e+000	-8.000000e+000	2.444194e+000	-9.755540e+000
-7.900000000000008e+000	-7.900000e+000	2.444169e+000	-9.755540e+000
-7.800000000000008e+000	-7.800000e+000	2.444144e+000	-9.755539e+000
-7.700000000000008e+000	-7.700000e+000	2.444119e+000	-9.755539e+000
-7.600000000000009e+000	-7.600000e+000	2.444093e+000	-9.755538e+000
-7.500000000000009e+000	-7.500000e+000	2.444068e+000	-9.755537e+000
-7.400000000000009e+000	-7.400000e+000	2.444043e+000	-9.755537e+000
-7.300000000000010e+000	-7.300000e+000	2.444018e+000	-9.755536e+000
-7.200000000000010e+000	-7.200000e+000	2.443993e+000	-9.755536e+000
-7.100000000000010e+000	-7.100000e+000	2.443968e+000	-9.755535e+000
-7.000000000000011e+000	-7.000000e+000	2.443943e+000	-9.755535e+000
-6.900000000000011e+000	-6.900000e+000	2.443918e+000	-9.755534e+000
-6.800000000000011e+000	-6.800000e+000	2.443892e+000	-9.755534e+000
-6.700000000000012e+000	-6.700000e+000	2.443867e+000	-9.755533e+000
-6.600000000000012e+000	-6.600000e+000	2.443842e+000	-9.755533e+000
-6.500000000000012e+000	-6.500000e+000	2.443817e+000	-9.755532e+000
-6.400000000000013e+000	-6.400000e+000	2.443792e+000	-9.755531e+000
-6.300000000000013e+000	-6.300000e+000	2.443767e+000	-9.755531e+000
-6.200000000000014e+000	-6.200000e+000	2.443742e+000	-9.755530e+000
-6.100000000000014e+000	-6.100000e+000	2.443717e+000	-9.755530e+000
-6.000000000000014e+000	-6.000000e+000	2.443691e+000	-9.755529e+000
-5.900000000000015e+000	-5.900000e+000	2.443666e+000	-9.755529e+000
-5.800000000000015e+000	-5.800000e+000	2.443641e+000	-9.755528e+000
-5.700000000000015e+000	-5.700000e+000	2.443616e+000	-9.755528e+000
-5.600000000000016e+000	-5.600000e+000	2.443591e+000	-9.755527e+000
-5.500000000000016e+000	-5.500000e+000	2.443566e+000	-9.755527e+000
-5.400000000000016e+000	-5.400000e+000	2.443541e+000	-9.755527e+000
-5.300000000000017e+000	-5.300000e+000	2.443516e+000	-9.755527e+000
-5.200000000000017e+000	-5.200000e+000	2.443491e+000	-9.755526e+000
-5.100000000000017e+000	-5.100000e+000	2.443465e+000	-9.755525e+000
-5.000000000000018e+000	-5.000000e+000	2.443440e+000	-9.755525e+000
-4.900000000000018e+000	-4.900000e+000	2.443415e+000	-9.755524e+000
-4.800000000000019e+000	-4.800000e+000	2.443390e+000	-9.755524e+000
-4.700000000000019e+000	-4.700000e+000	2.443365e+000	-9.755523e+000
-4.600000000000019e+000	-4.600000e+000	2.443340e+000	-9.755523e+000
-4.500000000000020e+000	-4.500000e+000	2.443315e+000	-9.755522e+000
-4.400000000000020e+000	-4.400000e+000	2.443290e+000	-9.755522e+000
-4.300000000000020e+000	-4.300000e+000	2.443264e+000	-9.755521e+000
-4.200000000000021e+000	-4.200000e+000	2.443239e+000	-9.755521e+000
-4.100000000000021e+000	-4.100000e+000	2.443214e+000	-9.755520e+000
-4.000000000000021e+000	-4.000000e+000	2.443189e+000	-9.755519e+000
-3.900000000000021e+000	-3.900000e+000	2.443164e+000	-9.755519e+000
-3.800000000000021e+000	-3.800000e+000	2.443139e+000	-9.755518e+000
