time	V(vin)	V(vout)	V(n002)
4.498173095814857e-004	3.101085e+000	1.629313e+000	1.937586e+000
4.516048408033129e-004	2.994115e+000	2.490338e+000	2.080764e+000
4.551799032469671e-004	2.779054e+000	4.224786e+000	2.369182e+000
4.600627157469671e-004	2.483082e+000	6.573286e+000	2.759705e+000
4.649455282469671e-004	2.184772e+000	8.593470e+000	3.095598e+000
4.667913592407726e-004	2.071453e+000	8.929700e+000	3.151450e+000
4.709386490723317e-004	1.815487e+000	8.935567e+000	3.152215e+000
4.750859389038907e-004	1.558701e+000	8.940109e+000	3.152758e+000
4.792332287354498e-004	1.301094e+000	8.943326e+000	3.153080e+000
4.833805185670088e-004	1.042666e+000	8.945217e+000	3.153180e+000
4.875278083985678e-004	7.834172e-001	8.945783e+000	3.153060e+000
4.916750982301268e-004	5.233475e-001	8.945023e+000	3.152718e+000
4.958223880616859e-004	2.624570e-001	8.942938e+000	3.152156e+000
5.055880130616859e-004	-3.510331e-001	8.943097e+000	3.151674e+000
5.104708255616859e-004	-6.574269e-001	8.943178e+000	3.151434e+000
5.153536380616859e-004	-9.632019e-001	8.942440e+000	3.151069e+000
5.202364505616859e-004	-1.268070e+000	8.939400e+000	3.150370e+000
5.243095609189544e-004	-1.521483e+000	8.930197e+000	3.148744e+000
5.285075153046492e-004	-1.781618e+000	8.917335e+000	3.146552e+000
5.324142757730146e-004	-2.022598e+000	8.892122e+000	3.142322e+000
5.417777505154459e-004	-2.594932e+000	8.763830e+000	3.120908e+000
5.455765348040137e-004	-2.824679e+000	8.546927e+000	3.084793e+000
5.496567730946558e-004	-3.069653e+000	7.985355e+000	2.991328e+000
5.545395855946558e-004	-3.360147e+000	6.834232e+000	2.799764e+000
5.576643994470209e-004	-3.544409e+000	5.664932e+000	2.605187e+000
5.615115736148964e-004	-3.769384e+000	3.595354e+000	2.260810e+000
5.643134807922114e-004	-3.931854e+000	1.665754e+000	1.939729e+000
5.653839259625710e-004	-3.993606e+000	7.845898e-001	1.793107e+000
5.660045404394178e-004	-4.029325e+000	2.615263e-001	1.706071e+000
5.663653922325946e-004	-4.050066e+000	2.634091e-002	1.666937e+000
5.664177382778338e-004	-4.053073e+000	1.139766e-002	1.664451e+000
5.665224303683120e-004	-4.059086e+000	6.575229e-003	1.663648e+000
5.667318145492685e-004	-4.071105e+000	3.788144e-003	1.663183e+000
5.671505829111816e-004	-4.095124e+000	2.573021e-003	1.662978e+000
5.687784553575770e-004	-4.188221e+000	-7.508789e-004	1.662417e+000
5.709489519527709e-004	-4.311666e+000	-4.960560e-003	1.661705e+000
5.752899451431587e-004	-4.556129e+000	-1.281772e-002	1.660376e+000
5.801727576431587e-004	-4.827046e+000	-2.089256e-002	1.659008e+000
5.850555701431587e-004	-5.093419e+000	-2.820177e-002	1.657768e+000
5.899383826431587e-004	-5.354999e+000	-3.482104e-002	1.656644e+000
5.948211951431587e-004	-5.611538e+000	-4.085258e-002	1.655617e+000
5.997040076431587e-004	-5.862796e+000	-4.636650e-002	1.654678e+000
6.045868201431587e-004	-6.108537e+000	-5.142844e-002	1.653815e+000
6.094696326431587e-004	-6.348528e+000	-5.608823e-002	1.653019e+000
6.143524451431588e-004	-6.582544e+000	-6.039025e-002	1.652283e+000
6.192352576431588e-004	-6.810365e+000	-6.437029e-002	1.651601e+000
6.241180701431588e-004	-7.031776e+000	-6.805936e-002	1.650969e+000
6.290008826431588e-004	-7.246570e+000	-7.148369e-002	1.650381e+000
6.338836951431588e-004	-7.454543e+000	-7.466555e-002	1.649834e+000
6.436493201431588e-004	-7.849251e+000	-8.037707e-002	1.648850e+000
6.582977576431588e-004	-8.385489e+000	-8.753382e-002	1.647614e+000
