time	V(vin)	V(vout)	V(n002)
1.365842181688674e-004	7.566565e+000	-8.733344e+000	2.078676e-001
1.371013828334587e-004	7.587770e+000	-8.848466e+000	1.893861e-001
1.374974302663002e-004	7.603955e+000	-8.884989e+000	1.847066e-001
1.378787227300509e-004	7.619492e+000	-8.890818e+000	1.850909e-001
1.390405752576981e-004	7.666572e+000	-8.890838e+000	1.850172e-001
1.402024277853453e-004	7.713237e+000	-8.890859e+000	1.849610e-001
1.413642803129924e-004	7.759488e+000	-8.890880e+000	1.849223e-001
1.425261328406396e-004	7.805325e+000	-8.890901e+000	1.849012e-001
1.436879853682868e-004	7.850748e+000	-8.890922e+000	1.848976e-001
1.448498378959339e-004	7.895756e+000	-8.890944e+000	1.849116e-001
1.460116904235811e-004	7.940351e+000	-8.890966e+000	1.849431e-001
1.646786831683969e-004	8.597126e+000	-8.891007e+000	1.849426e-001
1.851864956683969e-004	9.182194e+000	-8.891016e+000	1.849360e-001
2.056943081683969e-004	9.615016e+000	-8.891020e+000	1.849405e-001
2.262021206683970e-004	9.888417e+000	-8.891022e+000	1.849353e-001
2.467099331683970e-004	9.997864e+000	-8.891023e+000	1.849398e-001
2.672177456683970e-004	9.941540e+000	-8.891024e+000	1.849350e-001
2.877255581683970e-004	9.720381e+000	-8.891024e+000	1.849395e-001
3.082333706683970e-004	9.338054e+000	-8.891024e+000	1.849351e-001
3.287411831683970e-004	8.800896e+000	-8.891024e+000	1.849395e-001
3.492489956683970e-004	8.117816e+000	-8.891024e+000	1.849352e-001
3.697568081683971e-004	7.300138e+000	-8.891024e+000	1.849395e-001
3.902646206683971e-004	6.361420e+000	-8.891023e+000	1.849354e-001
4.107724331683971e-004	5.317227e+000	-8.891022e+000	1.849396e-001
4.312802456683971e-004	4.184872e+000	-8.891022e+000	1.849356e-001
4.517880581683971e-004	2.983129e+000	-8.891021e+000	1.849398e-001
4.722958706683972e-004	1.731924e+000	-8.891020e+000	1.849359e-001
4.747782389676805e-004	1.577983e+000	-8.891101e+000	1.849242e-001
4.772606072669638e-004	1.423762e+000	-8.891142e+000	1.849185e-001
4.797429755662472e-004	1.269260e+000	-8.891143e+000	1.849187e-001
4.822253438655306e-004	1.114477e+000	-8.891106e+000	1.849248e-001
4.847077121648140e-004	9.594130e-001	-8.891028e+000	1.849368e-001
4.871900804640973e-004	8.040688e-001	-8.890911e+000	1.849547e-001
4.896724487633807e-004	6.484439e-001	-8.890755e+000	1.849786e-001
4.898797597773613e-004	6.354450e-001	-8.890837e+000	1.849629e-001
