v3	V(vin)	V(vo1)	V(vout)
-1.800000000000019e+000	-1.800000e+000	-4.239653e+000	1.800271e+000
-1.700000000000019e+000	-1.700000e+000	-4.038177e+000	1.700279e+000
-1.600000000000019e+000	-1.600000e+000	-3.836611e+000	1.600288e+000
-1.500000000000019e+000	-1.500000e+000	-3.634944e+000	1.500297e+000
-1.400000000000019e+000	-1.400000e+000	-3.433163e+000	1.400306e+000
-1.300000000000019e+000	-1.300000e+000	-3.231249e+000	1.300315e+000
-1.200000000000019e+000	-1.200000e+000	-3.029182e+000	1.200325e+000
-1.100000000000019e+000	-1.100000e+000	-2.826935e+000	1.100335e+000
-1.000000000000019e+000	-1.000000e+000	-2.624474e+000	1.000345e+000
-9.000000000000187e-001	-9.000000e-001	-2.421753e+000	9.003564e-001
-8.000000000000187e-001	-8.000000e-001	-2.218713e+000	8.003680e-001
-7.000000000000187e-001	-7.000000e-001	-2.015266e+000	7.003805e-001
-6.000000000000187e-001	-6.000000e-001	-1.811289e+000	6.003941e-001
-5.000000000000188e-001	-5.000000e-001	-1.606587e+000	5.004092e-001
-4.000000000000188e-001	-4.000000e-001	-1.400840e+000	4.004265e-001
-3.000000000000188e-001	-3.000000e-001	-1.193396e+000	3.004472e-001
-2.000000000000188e-001	-2.000000e-001	-9.829407e-001	2.004735e-001
-1.000000000000188e-001	-1.000000e-001	-7.650818e-001	1.004891e-001
-1.879052469178077e-014	-1.879052e-014	-4.273420e-001	4.883357e-004
9.999999999998122e-002	1.000000e-001	6.358389e-001	9.951272e-002
1.999999999999812e-001	2.000000e-001	7.538943e-001	1.995148e-001
2.999999999999812e-001	3.000000e-001	8.643611e-001	2.995169e-001
3.999999999999813e-001	4.000000e-001	9.719651e-001	3.995190e-001
4.999999999999812e-001	5.000000e-001	1.077648e+000	4.995211e-001
5.999999999999812e-001	6.000000e-001	1.182314e+000	5.995232e-001
6.999999999999812e-001	7.000000e-001	1.286294e+000	6.995253e-001
7.999999999999812e-001	8.000000e-001	1.389748e+000	7.995273e-001
8.999999999999812e-001	9.000000e-001	1.492795e+000	8.995294e-001
9.999999999999811e-001	1.000000e+000	1.595521e+000	9.995314e-001
1.099999999999981e+000	1.100000e+000	1.697988e+000	1.099533e+000
1.199999999999981e+000	1.200000e+000	1.800240e+000	1.199535e+000
1.299999999999981e+000	1.300000e+000	1.902312e+000	1.299538e+000
1.399999999999982e+000	1.400000e+000	2.004230e+000	1.399540e+000
1.499999999999982e+000	1.500000e+000	2.106016e+000	1.499542e+000
1.599999999999982e+000	1.600000e+000	2.207687e+000	1.599544e+000
1.699999999999982e+000	1.700000e+000	2.309256e+000	1.699546e+000
1.799999999999982e+000	1.800000e+000	2.410736e+000	1.799548e+000
1.899999999999982e+000	1.900000e+000	2.512136e+000	1.899549e+000
1.999999999999982e+000	2.000000e+000	2.613464e+000	1.999552e+000
2.099999999999982e+000	2.100000e+000	2.714727e+000	2.099554e+000
2.199999999999982e+000	2.200000e+000	2.815932e+000	2.199555e+000
2.299999999999982e+000	2.300000e+000	2.917083e+000	2.299557e+000
2.399999999999982e+000	2.400000e+000	3.018185e+000	2.399559e+000
2.499999999999982e+000	2.500000e+000	3.119242e+000	2.499561e+000
2.599999999999982e+000	2.600000e+000	3.220258e+000	2.599563e+000
2.699999999999982e+000	2.700000e+000	3.321235e+000	2.699565e+000
2.799999999999983e+000	2.800000e+000	3.422177e+000	2.799567e+000
2.899999999999983e+000	2.900000e+000	3.523085e+000	2.899569e+000
2.999999999999983e+000	3.000000e+000	3.623963e+000	2.999571e+000
3.099999999999983e+000	3.100000e+000	3.724813e+000	3.099573e+000
3.199999999999983e+000	3.200000e+000	3.825635e+000	3.199575e+000
