time	V(vin)	V(voutoa)	V(voutr)
5.192668930002517e-004	-1.449144e-001	1.305673e-001	1.501352e-010
5.219138296354693e-004	-1.647048e-001	1.413544e-001	2.265092e-010
5.233942145978596e-004	-1.757537e-001	1.408948e-001	2.827727e-010
5.249307520327309e-004	-1.872057e-001	1.331968e-001	3.584048e-010
5.266589505870289e-004	-2.000651e-001	1.198815e-001	4.669711e-010
5.286387232003944e-004	-2.147675e-001	1.019683e-001	6.244450e-010
5.300504657405854e-004	-2.252313e-001	8.839370e-002	7.612183e-010
5.306470272293713e-004	-2.296478e-001	8.320389e-002	8.279380e-010
5.308894036343936e-004	-2.314412e-001	8.302255e-002	8.573438e-010
5.310145817672745e-004	-2.323672e-001	8.626677e-002	8.731197e-010
5.311375864936036e-004	-2.332770e-001	9.502245e-002	8.889606e-010
5.312592099686054e-004	-2.341765e-001	1.093203e-001	9.049078e-010
5.313965899195778e-004	-2.351923e-001	1.293512e-001	9.232751e-010
5.315633488024945e-004	-2.364251e-001	1.538255e-001	9.460759e-010
5.317691106965903e-004	-2.379459e-001	1.790543e-001	9.750272e-010
5.320646591639385e-004	-2.401296e-001	2.040303e-001	1.018205e-009
5.324525062873729e-004	-2.429941e-001	2.229947e-001	1.077508e-009
5.328443462746293e-004	-2.458865e-001	2.327179e-001	1.140860e-009
5.333383140799343e-004	-2.495308e-001	2.390964e-001	1.226345e-009
5.349518726555094e-004	-2.614177e-001	2.522112e-001	1.558195e-009
5.421067421721890e-004	-3.140300e-001	3.050742e-001	-1.801137e-007
5.492616116888686e-004	-3.657556e-001	3.570289e-001	-2.111698e-007
5.564164812055483e-004	-4.165945e-001	4.080755e-001	-9.161027e-008
5.635713507222279e-004	-4.665466e-001	4.582139e-001	1.785650e-007
5.707262202389075e-004	-5.156121e-001	5.074441e-001	5.993559e-007
5.778810897555872e-004	-5.637909e-001	5.557661e-001	1.170763e-006
5.850359592722668e-004	-6.110830e-001	6.031799e-001	1.892785e-006
5.948015842722668e-004	-6.732622e-001	6.655960e-001	6.135474e-006
6.045672092722668e-004	-7.329074e-001	7.255005e-001	1.890401e-005
6.143328342722668e-004	-7.897940e-001	7.826702e-001	5.511319e-005
6.240984592722668e-004	-8.437080e-001	8.368937e-001	1.513608e-004
6.338640842722668e-004	-8.944466e-001	8.879673e-001	3.894513e-004
6.436297092722668e-004	-9.418185e-001	9.357008e-001	9.322502e-004
6.533953342722669e-004	-9.856458e-001	9.799148e-001	2.057895e-003
6.631609592722669e-004	-1.025763e+000	1.020444e+000	4.148610e-003
6.729265842722669e-004	-1.062020e+000	1.057136e+000	7.577451e-003
6.826922092722669e-004	-1.094280e+000	1.089853e+000	1.250355e-002
6.924578342722669e-004	-1.122420e+000	1.118471e+000	1.870872e-002
7.119890842722669e-004	-1.165939e+000	1.162999e+000	3.246756e-002
7.217547092722669e-004	-1.181152e+000	1.178740e+000	3.851774e-002
7.315203342722669e-004	-1.191920e+000	1.190047e+000	4.317127e-002
7.412859592722669e-004	-1.198202e+000	1.196877e+000	4.603378e-002
7.510515842722669e-004	-1.199974e+000	1.199205e+000	4.686642e-002
7.608172092722670e-004	-1.197229e+000	1.197022e+000	4.559037e-002
7.705828342722670e-004	-1.189979e+000	1.190334e+000	4.230699e-002
7.803484592722670e-004	-1.178250e+000	1.179166e+000	3.730006e-002
7.901140842722670e-004	-1.162086e+000	1.163561e+000	3.102751e-002
8.096453342722670e-004	-1.116713e+000	1.119289e+000	1.728907e-002
8.194109592722670e-004	-1.087676e+000	1.090787e+000	1.132083e-002
8.291765842722670e-004	-1.054545e+000	1.058180e+000	6.712844e-003
